author_id,created_at.x,id,lang,text,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,verified,created_at.y,location,name,description,url,username
1009010192703541249,2021-04-20T21:13:06.000Z,1384616135916654592,en,"The #CircularEconomy can be powerful for middle income countries. @CarolaSchmidtz explains more #DavosAgenda https://t.co/EIbdmTB9x9
rt @wef https://t.co/vRhYMgvshr",0,0,0,0,FALSE,2018-06-19T09:49:11.000Z,United States,Sunny Tech in Florida,Hot Info to illuminate your Digital Path. #Tech #Digital #IoT #AI #Cloud,https://t.co/JUHztFY1C3,GRAUSAFL
1014225915457495040,2021-04-20T17:37:51.000Z,1384561968921653249,es,"@CarolaSchmidtZ Ministra, y que pasa cuando es una empresa la que emite orden de matar especies marinas? Mire lo que paso aqui https://t.co/tHm5AFkI4i",7,0,3,0,FALSE,2018-07-03T19:14:36.000Z,"",Lucía Villar,"Oceanógrafa, Científica, Marine GEO-Scientist, Mujer, Emprendedora y mamá 🌊♥️",https://t.co/L8gf563FjE,Lucia_GEOMAR
104210159,2021-04-20T21:37:29.000Z,1384622271617245187,es,".@CarolaSchmidtZ: Detener destrucción de cascada Los Maquis por Edelaysén, en la Patagonia - ¡Firma la petición! https://t.co/fpSy8Cfow5 vía @ChangeorgChile",1,0,0,0,FALSE,2010-01-12T16:48:07.000Z,Patagonia chilena coyhaique,Samuel Navarro Constituyente,"Incesantemente luchando x la justicia, organizando a los trabajadores/as x un mañana mejor! Candidato Delegado Convención constitucional D 27 Región de Aysén","",sam_navarro_c
1051579427233128448,2021-04-20T18:03:43.000Z,1384568477382582274,es,"@Senado_Chile @MMAChile @CarolaSchmidtZ Y los ruidos productos del comercio en sectores residenciales , y encerrado y con el motor del extractor de aire mula chanta a lo compadre , que debemos soportar 24/7 ( más real que discurso de político ) avalado por el mercado del consumo , hasta capitán planeta es un mercader !",0,0,0,0,FALSE,2018-10-14T21:04:07.000Z,"",andres castillo,"","",andresc95927705
1082373333541367808,2021-04-20T20:33:04.000Z,1384606063316459523,es,".@CarolaSchmidtZ: Detener destrucción de cascada Los Maquis por Edelaysén, en la Patagonia - ¡Firma la petición! https://t.co/LDHcvCKich a través de @ChangeorgChile",0,0,0,0,FALSE,2019-01-07T20:28:07.000Z,"Chile, coyhaique, Santiago...",HAPPY:?,"Escuchar música de distintos tipos y leer...estudia, la fotografía..etc","",Rjfpyo1
110018347,2021-04-20T17:56:29.000Z,1384566658094796807,es,@Senado_Chile @Duranasenador @adeurresti @MMAChile @CarolaSchmidtZ @ximenaordenes @iallendebussi @OceanaChile Y que el SEA actúe con ética y no corrupción sería otro gran logro. 😯Parece q pido mucho.,0,0,0,0,FALSE,2010-01-31T02:16:23.000Z,chile,Alcyone,"Artes Plásticas. Diseño.
Arquitectura
Fauna - Naturaleza.","",cheetablog
1136080444032802816,2021-04-20T19:17:36.000Z,1384587067808698368,es,@DefendamsChiloe @ULagosOficial @max_bello_m @CarolaSchmidtZ @biobio Ufff ese es el del buque científico del 2016,1,0,2,0,FALSE,2019-06-05T01:20:59.000Z,"",PatagoniaSinSalmoneras,"","",PSalmoneras
1136080444032802816,2021-04-20T19:17:14.000Z,1384586976196800522,es,@DefendamsChiloe @patagoniaCHL @GobiernodeChile @CarolaSchmidtZ @max_bello_m @Fundacion_Geute @OceanosferaCL @TerramChile @NoAltoMaipo @Aidaespanol @FIMA_Chile @amigosdelosparq @joevasconcellos @paloma_avila Muchas gracias se pasaro. Todos,0,0,3,0,FALSE,2019-06-05T01:20:59.000Z,"",PatagoniaSinSalmoneras,"","",PSalmoneras
114798724,2021-04-20T20:33:41.000Z,1384606218157760517,es,@Lilolilium @MMAChile @CarolaSchmidtZ Un Ministerio del Ambiente y una ministra que están completamente orientado al empresariado depredador.😡😡😡,0,0,1,0,FALSE,2010-02-16T17:00:17.000Z,Donde el 😈 perdió el poncho,Sol 😷💚🐕🐈🌸🌳🌲🐝🐳,"Designer and teacher. Witch, denial hunter and botkiller. Environment defender and of animal right. 💖🌎","",SolMeraki
1155977663569256458,2021-04-21T04:08:20.000Z,1384720632307400704,es,"@DoctorPurto Oye @CarolaSchmidtZ despabila tontorrona. Hace la pega por la cual te pagan.
@MMAChile",3,1,3,0,FALSE,2019-07-29T23:05:26.000Z,En la quebra' del ají. ,MaurOckham,"Con el ♥ a la izquierda. Cuidemos el 🌏. Tengo boinas patagonicas.
Amo a mi 🐶
Oposición dividida es vencida.
Chao Piñera CTM. ✊","",MaurOckham
1155977663569256458,2021-04-20T20:56:50.000Z,1384612043987333120,es,"Oye @MMAChile díganle a la lesa de la @CarolaSchmidtZ que se preocupe menos de la peluquería y vea que esta la caga en el sur.
Mortalidad masiva de salmones y el cambio climático como pretexto https://t.co/DPyiYyDA7f",1,0,1,0,FALSE,2019-07-29T23:05:26.000Z,En la quebra' del ají. ,MaurOckham,"Con el ♥ a la izquierda. Cuidemos el 🌏. Tengo boinas patagonicas.
Amo a mi 🐶
Oposición dividida es vencida.
Chao Piñera CTM. ✊","",MaurOckham
117109475,2021-04-20T19:41:04.000Z,1384592976157069312,es,"@DefendamsChiloe @patagoniaCHL @GobiernodeChile @CarolaSchmidtZ @max_bello_m @Fundacion_Geute @OceanosferaCL @TerramChile @NoAltoMaipo @Aidaespanol @FIMA_Chile @amigosdelosparq @joevasconcellos @paloma_avila Mandemos una camionada a La Moneda... ya que compraron +30 millones en pescados y mariscos.
Si no lo ven, no se sensibilizan.",0,0,0,0,FALSE,2010-02-24T15:26:12.000Z,Metropolitana de Santiago,Pablo Ruiz,La vida es bella. Innovación internacional. Profesor postgrados. Modelos de negocios. Consultor senior FEN UCHILE. ExGte Nestlé México. Director Fundación Sikna,"",mktpablo
1177511762473603072,2021-04-20T17:22:15.000Z,1384558041257893889,es,@Senado_Chile @MMAChile @CarolaSchmidtZ aca sin #ddhh aun https://t.co/GAnGZUcI0w hay +aca que  discursos mismos que he crecido. no son 550 días son años! saque 7 álbumes de #rap me hacen esperar #DerechosHumanos xq  soy #Pobre #Underground y #Rapero? subiré el #Rapconciente + naturaleza! #MUSICA QUE HACIA ANTES🧠🧐,1,0,2,0,FALSE,2019-09-27T09:14:27.000Z,Chile,DIOS+MIEDO🙏🕊️🌏⏭️🇨🇱⏳🌱,"DIOS EXISTE, EL AMOR  TAMBIÉN,NOSOTROS EN HUMANIDAD  VES+56987793925 Help PAZ, VIOLADO POR DDHH SALUD Y ECONOMÍA Y EMOCIONES 😢🌎🙏🌱❤💛
🙏  ASPERGER+? SENTÍR",https://t.co/eqdaI37rz8,Adhrstudio1
118236083,2021-04-21T00:15:26.000Z,1384662022516846594,es,"Exponen mañana la Ministra de Medio Ambiente @CarolaSchmidtZ y el Ministro de Minería @JCJobet  , ojalá se abra el espacio para que la comunidad y académicos que hayan visto el tema de salud, también puedan presentar @ProvosteYasna @guidogirardi @iallendebussi @RafaelProhensE https://t.co/D5PzvOlzZb",0,0,4,0,FALSE,2010-02-28T01:22:28.000Z,Chile,Pamela Poo,"Politóloga UDEC, Magíster en Sociología.  Ecología Política, Pol. Públicas y el Ecofeminismo son lo mío, entre el Parlamento y ONG @chilesust @reddepolitologas","",pamela_poo
118254056,2021-04-21T03:42:53.000Z,1384714226657370112,es,"Aguas andinas destruye un parque y ciclo vía porque no realiza obras de mitigación ambiental. Sabemos que los árboles son esencial para la vida en la ciudad.  Que pasa aquii!!? @MMAChile @CarolaSchmidtZ 
@IntendenciaRM https://t.co/215JsTGBZv",0,0,0,0,FALSE,2010-02-28T02:45:49.000Z,Chile,La Sultana ﺟ,"✨Om Ah Hum Vajra Guru Padma Siddhi Hum✨
🛸🕉🐳🐝🌎 Tormenta Eléctrica Azul. 
#AbreTuConciencia #SigueAlConejoBlanco 
#NoEsSequiaEsSaqueo","",CaritOnasis
1190364494,2021-04-20T23:56:24.000Z,1384657233183662081,es,".@CarolaSchmidtZ: Detener destrucción de cascada Los Maquis por Edelaysén, en la Patagonia - ¡Firma la petición! https://t.co/1g8ziaLVAX vía @ChangeorgChile",0,0,0,0,FALSE,2013-02-17T17:24:12.000Z,"",Andrés I Muñoz A,Profesor de EFI ⚽️🚴🏻‍♂️🏋🏼‍♂️⛹🏽‍♂️,"",aima5mu
