author_id,text,lang,id,created_at.x,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,username,name,description,created_at.y,verified,url
106109328,"@JorgeSharp Y el tercer retiro a quién beneficiará?
Porque los más pobres no, ya pocos tienen fondos.
Por cierto, devuelve la plata municipal que te robaste de educación.
P.D Piñera vale callampa y se merece el repudio, pero que vengan tipejos de tu calaña a criticar, es súper hipócrita.",es,1384723654987157505,2021-04-21T04:20:20.000Z,0,0,0,0,Runbe88,Orwell 1984,"Libertario, políticamente incorrecto.",2010-01-18T14:44:55.000Z,FALSE,""
107471137,@JorgeSharp De corrupto a corrupto,es,1384721804086976522,2021-04-21T04:12:59.000Z,0,0,0,0,edgarvondh,edgar quezada,vivir el día día con una sonrisa hace que todo sea más hermoso #hispanoamericano 🇨🇱❌,2010-01-22T17:28:25.000Z,FALSE,""
1107657415317688321,"@JorgeSharp @Domingo_P_M Yo no entiendo a Jorgito, tiene más ganas de pelear en Twitter que de mejorar valpo... El mesías que iba a derribar la vieja política era simplemente un barbón Weno pa las redes sociales.
Que absurdo tener un alcalde tan narciso.",es,1384722187182030850,2021-04-21T04:14:30.000Z,0,0,0,0,Elpalton1,Elpalton,Soy amargo.,2019-03-18T14:58:01.000Z,FALSE,""
1125590738404872192,@JorgeSharp Mas fuerte sera la plr por ladron!,es,1384721751586844676,2021-04-21T04:12:47.000Z,0,0,2,0,Cristia52515910,Cristian! Patriota al 1.000%,"",2019-05-07T02:38:39.000Z,FALSE,""
1175931253268373504,@ferdiazpoblete @JorgeSharp Derecha enferma.,es,1384721381238116352,2021-04-21T04:11:18.000Z,0,1,0,0,KevinPerezChile,Kevin,"",2019-09-23T00:34:02.000Z,FALSE,""
1185565489134800901,"@JorgeSharp POR LAS.CALLES DE SANTIAGO VEO .......
ADIOS SEBASTIAN ...ADIOS SEBASTIAN",es,1384725649743618048,2021-04-21T04:28:16.000Z,0,0,0,0,char1234ch,cHarli,Tranquilidad,2019-10-19T14:37:13.000Z,FALSE,""
1186001185255415809,@JorgeSharp Este weón publica video sin verlos ni escucharlos parece 🤣🤣🤣🤣🤣🤣,es,1384726679990542342,2021-04-21T04:32:22.000Z,0,0,0,0,Mauricio_0586,Mauricio,"El comunismo va en contra de la naturaleza humana, por lo que solo trae miseria y la única forma de instaurarlo es por la fuerza y la tiranía. NO + COMUNISMO.",2019-10-20T19:28:29.000Z,FALSE,""
1186007801157558272,"@PamJiles @JorgeSharp El tirano de @JorgeSharp q tiene Valparaíso convertido en una miseria, Bueno así es más fácil gobernar con gente miserables, esa es la ideología zurda",es,1384721526679867392,2021-04-21T04:11:53.000Z,0,0,0,0,jactieneopinion,jactieneopinion,"Soy común y corriente, un poco apasionadas, primero mi familia y el deporte, viajera. RECHAZO y Anticomunista",2019-10-20T19:54:45.000Z,FALSE,""
1186365982488629253,@JorgeSharp Van 20,und,1384745816338968576,2021-04-21T05:48:24.000Z,0,0,1,0,Jnmavicuna,Juan Manuel Vicuña,"💚Patriota💚 C de Propiedades, Prof de Oratoria.",2019-10-21T19:38:00.000Z,FALSE,""
1186822648518578177,"@JorgeSharp @JorgeSharp 
Si toda la razón, Súper fuerte, debe ser por el #EstallidoNarcoDeluctual , el Vandalismo, Destrucción, Narcoterrorismo, incendios, Valparaíso destruido, han destruido, rayado y vandalizado lo que fue antes del #EstallidoNarcoDeluctual un Patrimonio Cultural?",es,1384748792189227011,2021-04-21T06:00:14.000Z,0,0,0,0,Patriotasantiag,PatriotaSantiago,"Dios, Patria 🇨🇱 y Familia.
Licenciatura,  Magíster.
Mi Corazón, sabio, me guía por la Diestra",2019-10-23T01:53:15.000Z,FALSE,""
