author_id,text,id,lang,created_at.x,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,description,name,location,username,url,verified,created_at.y
1043155426047606785,"A esta hora @KarlaEnAccion y @juanjoseossasc deben estar calientitos en la casa, comiendo rico y sin preocupaciones. 

La señora de esta mañana debe estar igual o peor q esta mañana y así millones de Chilenos.

#tercerretiroMV #bonoclasemedia2021rechazado https://t.co/CKZeVaZoIc",1384698252394737664,es,2021-04-21T02:39:24.000Z,2,0,0,0,"",#ASGARDIANO DE LA GALAXIA 🎧,Madripoor,HectorGLopezO1,"",FALSE,2018-09-21T15:10:09.000Z
1062871737912705024,@sebastianpinera @KarlaEnAccion @GobiernodeChile 💣 https://t.co/gp60UhYXou,1384698507420966918,und,2021-04-21T02:40:25.000Z,0,0,0,0,Diseñador creativo,Jordi Bentué,"Santiago, Chile",jordibentue,https://t.co/T1vovQXkVq,FALSE,2018-11-15T00:55:44.000Z
1062871737912705024,"@sebastianpinera @KarlaEnAccion @RodrigoDelgadoM @juanjoseossasc @GobiernodeChile Ahora les ""preocupa"" nuestra calidad de vida!!? Wath? X lo menos digan las cosas como son. Y Asumir las consecuencias d sus tardías, erradas e inhumanas decisiones políticas a favor de sus intereses https://t.co/Lmx1Z2AbBc",1384696743493873672,es,2021-04-21T02:33:24.000Z,0,0,0,0,Diseñador creativo,Jordi Bentué,"Santiago, Chile",jordibentue,https://t.co/T1vovQXkVq,FALSE,2018-11-15T00:55:44.000Z
1128851992644870145,Su pueblo tiene ambre gasto hay niño presidente piñera @KarlaEnAccion @sebastianpinera sin tc dies x siento x favor https://t.co/My1YOY1zBC,1384750240931135489,es,2021-04-21T06:05:59.000Z,0,0,0,0,este gobierno es una tristeza,Nathalia Mena Sepúlveda,"Lampa, Chile",NathaliaMenaSe1,"",FALSE,2019-05-16T02:37:42.000Z
1167436556426199041,"#variantepiñera @sebastianpinera @KarlaEnAccion @GobiernodeChile @Camara_cl @ceciliamorel hasta cuando siguen haciendo oídos sordos?

#TerceroRetiro10xCientoAHORA
#RenunciaPiñeraCTM
#AcusacionConstitucionalAPiñeraAhora #TercerRetiroDel10xCiento https://t.co/xqljUwEUJR",1384705390705786880,es,2021-04-21T03:07:46.000Z,1,0,0,0,luchando por justicia,sin justicia no tendremos paz,"",EduSandoval16,"",FALSE,2019-08-30T13:59:12.000Z
116847655,"Ya @sebastianpinera 
Date cuenta que pasa en este país!!!
@GobiernodeChile 
@KarlaEnAccion 
@Min_Hacienda 
Sus soluciones no sirven de nada!!!
#ElPeorGobiernoDeLaHistoria https://t.co/eSdYPystkJ",1384701606340464641,es,2021-04-21T02:52:44.000Z,0,0,0,0,Hincha y socio de cobreloa!!! disfruto de la vida y soy muy feliz con mi familia...,ELIAS LEIVA H.,Chile,aragorn_33,https://t.co/zFVE3jcKMP,FALSE,2010-02-23T19:20:44.000Z
1183103455994494976,@canal13 @KarlaEnAccion @sebastianpinera @GobiernodeChile  y su mierda q bono NO SIRVEEEEE,1384706727959056384,es,2021-04-21T03:13:05.000Z,0,0,1,0,eso no ma,Eduardo #FueraPiñera,"",Eduardo65071081,"",FALSE,2019-10-12T19:33:55.000Z
1186401473778933767,"Me imagino lo indignada que debe estar @KarlaEnAccion escuchando a los 15 millones de roteques que recibieron las ayudas del estado cacerolear

#IFE #TercerRetiro10MV #tercerretiroMV #PineraSeAcabo #VariantePiñera #gobiernodechile #GobiernoDeInutiles #piñeraqlo #piñera",1384704051288416256,es,2021-04-21T03:02:27.000Z,0,0,0,0,"#AprueboCC
#RenunciaPiñera",Michelle s,Chile,MichelledeSain1,"",FALSE,2019-10-21T21:58:56.000Z
1189545050344214528,"@KarlaEnAccion pero hay que postular, no es automático",1384700641755508738,es,2021-04-21T02:48:54.000Z,0,0,0,0,"",Claudia,"",Claudia11299790,"",FALSE,2019-10-30T14:10:32.000Z
1190066615884361728,"#ParoNacional
Caras de raja'!!!
@KarlaEnAccion 
@GobiernodeChile 
@Senado_Chile 
@Camara_cl https://t.co/29TiD0CwfL",1384714113062899716,es,2021-04-21T03:42:25.000Z,2,0,3,0,"",Luis L.,"",LuisL19654543,"",FALSE,2019-11-01T00:43:05.000Z
