author_id,created_at.x,text,id,lang,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,verified,name,username,created_at.y,location,url,description
1023123343,2021-04-20T03:00:36.000Z,@jgalemparte @fernandopaulsen 👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏,1384341200279425027,und,0,0,0,0,FALSE,Gamalier Candia,Gamangol,2012-12-19T23:37:19.000Z,Angol City,"",""
104722383,2021-04-20T13:29:06.000Z,"@albertolarrains @Ultima_Mirada @fernandopaulsen Muy buena entrevista, la salud mental no puede seguir esperando",1384499365629267969,es,0,0,0,0,FALSE,Cecilia Jara,cjarab,2010-01-14T05:27:08.000Z,"","",""
1061253349356507141,2021-04-19T23:10:19.000Z,"Es para ponerse de pie y aplaudir por 10 minutos.

Seco @fernandopaulsen, interpretando a casi todo un país rechazado por el desgobierno del rechazo -y valga la redundancia eh- https://t.co/9jK4UfLFwY",1384283248239411204,es,0,0,0,0,FALSE,feli,FeliDeConce,2018-11-10T13:44:50.000Z,"Gran Concepción, Chile","","cero por ciento influyente, feli a la constituyente"
1064281023695986689,2021-04-20T02:59:17.000Z,@PaulinaAstrozaS @fernandopaulsen COMO PUEDE SER QUE @sebastianpinera PRESIDENTE QUE SE ENRIQUECIO ILICITAMENTE AHORA NOS QUIERA DEJAR A TODOS LOS CHILENOS EN LA MISERIA ACUDIENDO AL TC??,1384340869470380035,es,0,0,0,0,FALSE,RUMI,pabloiznikcom1,2018-11-18T22:15:44.000Z,"Las Condes, Chile","",START THE DAY WITH LOVE
1064281023695986689,2021-04-19T21:55:47.000Z,@Senado_Chile @ArayaPedro @adeurresti @galilea_rodrigo @Luzebensperger COMO PUEDE SER QUE @sebastianpinera PRESIDENTE QUE SE ENRIQUECIO ILICITAMENTE AHORA NOS QUIERA DEJAR A TODOS LOS CHILENOS EN LA MISERIA ACUDIENDO AL TC?? @Senado_Chile @Camara_cl @alvarez_monse @ivanmoreirab @matiaswalkerp @iallendebussi @guillier @hiranechecho @fernandopaulsen,1384264491253202953,es,0,0,0,0,FALSE,RUMI,pabloiznikcom1,2018-11-18T22:15:44.000Z,"Las Condes, Chile","",START THE DAY WITH LOVE
1064281023695986689,2021-04-20T02:59:38.000Z,@fernandopaulsen COMO PUEDE SER QUE @sebastianpinera PRESIDENTE QUE SE ENRIQUECIO ILICITAMENTE AHORA NOS QUIERA DEJAR A TODOS LOS CHILENOS EN LA MISERIA ACUDIENDO AL TC??,1384340954669277186,es,0,0,0,0,FALSE,RUMI,pabloiznikcom1,2018-11-18T22:15:44.000Z,"Las Condes, Chile","",START THE DAY WITH LOVE
1064281023695986689,2021-04-20T03:02:27.000Z,"@fernandopaulsen Nada que ver Fernanditoooo. Trump gano apesar de la Big Tec, la Mass Media y el Fraude Electoral. Como se expican mas de 10 dias de conteo de votos.Eso no pasa en ningun pais bananero nu dictadura.
Me desilusiona tu desinformacion",1384341663842279432,es,0,0,0,0,FALSE,RUMI,pabloiznikcom1,2018-11-18T22:15:44.000Z,"Las Condes, Chile","",START THE DAY WITH LOVE
1093174204927823872,2021-04-20T01:12:13.000Z,"@jferrada1 @fernandopaulsen Lo dice y lo publica el mas favorecido, aprovechador y adorador del sistema neoliberal, capitalista, gracias al este sistema el se permite hablar burradas sin sentido y atacando sin sentido a muchos que piensan diferente",1384313923445403650,es,0,0,0,0,FALSE,Sole Rioseco,SoledadRioseco,2019-02-06T15:46:55.000Z,"Padre Las Casas, Chile","","Vivo en la IX region, orgullosa de ser del sur, derechista por siempre
¡¡¡¡  CRISTO VIENE ¡¡¡¡
La izquierda busca imponer la violencia usando grupos armados."
1112159006037032960,2021-04-20T04:19:37.000Z,"@CNNChile @fernandopaulsen El ""sumo sacerdote"" tras el 
Púlpito televisivo...cual Obispo siendo ""informado""
por algún ""sociólogo""...
Cambiemos todo, para que siga igual..(.Como si las cuarentenas fuesen festivales..)",1384361086657437700,es,0,0,0,0,FALSE,Ren.Nazal,NazalRenato,2019-03-31T01:05:44.000Z,"","","Cuasi Bachiller  y autodidacta..ciencias  y tecnología, una pasión. Fuerzas rectoras del Universo son divinidades...
libre pensador, y conservacionista.."
1121798520095162368,2021-04-19T20:58:28.000Z,Notable @fernandopaulsen  gracias por ser la voz de nuestro amado pueblo Chileno https://t.co/K4zK1LFww0,1384250064760033281,es,0,0,0,0,FALSE,Proyecto SMILEY,ProyectoSmiley,2019-04-26T15:29:43.000Z,"","","Proyecto Smiley, por un mundo mejor"
