author_id,text,id,lang,created_at.x,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,description,name,location,username,url,verified,created_at.y
1018311056043773953,"@mxperez @T13 Impresentable!
Por eso nadie pesca la cuarentena",1382158931770884101,es,2021-04-14T02:29:03.000Z,0,0,1,0,"Independiente, observador, minucioso, incisivo e irónico.",Hans Schweinsteiger,"",SchweinsteigHan,"",FALSE,2018-07-15T01:47:29.000Z
102539639,"@Juampi_juampi_ @mxperez Claro, este estudio está hecho básicamente con personas de mayor edad y con comorbilidades, los estudios anteriores con 100% de efectividad a fallecer por complicaciones del Covid fueron realizados con personas absolutamente sanas, ahí esta la diferencia",1383064689769381890,es,2021-04-16T14:28:12.000Z,0,0,1,0,"Hijo de Obrero, casi puntaje nacional de Química, los otros puntajes poblacionales, esposo y padre de 2, matrón de profesión, futbolero y colocolino!!!",Cristian Hidalgo,"San Miguel, Chile",cristianhire,"",FALSE,2010-01-07T01:35:36.000Z
104950314,"@mxperez no puedo verla, de solo imaginar se me parte el corazón",1380340340163543041,es,2021-04-09T02:02:37.000Z,0,0,1,0,Mamá,C C Sando,Viña del Mar,psicocecilia,https://t.co/6r2cKoD3qO,FALSE,2010-01-14T22:15:43.000Z
1081745756,"Srta. @mxperez
La cosa está mala, si me ayuda con un RT se lo agradecería en el alma.
Tengo en venta más de 100 Equipos Computacionales Usados y Reacondicionados, les puedo enviar la lista completa a algún mail que me indiquen.
Mil gracias por el RT https://t.co/ntieAAB4nK",1379893835971620869,es,2021-04-07T20:28:22.000Z,0,1,0,0,"Enamorada de mis hijos, me hago cargo de lo que digo no de lo que entiendan y me fascina el footlball...UNIVERSIDAD DE CHILE.",Andredita,"",andrealorenadv,"",FALSE,2013-01-12T03:55:16.000Z
1081745756,"@lulafredes @mxperez Holaaa, un mail a tucompuchile@gmail.com",1379897679656943620,fr,2021-04-07T20:43:38.000Z,0,1,0,0,"Enamorada de mis hijos, me hago cargo de lo que digo no de lo que entiendan y me fascina el footlball...UNIVERSIDAD DE CHILE.",Andredita,"",andrealorenadv,"",FALSE,2013-01-12T03:55:16.000Z
1081745756,"@lulafredes @mxperez Gracias, estaré atenta",1379897905402773509,es,2021-04-07T20:44:32.000Z,0,0,0,0,"Enamorada de mis hijos, me hago cargo de lo que digo no de lo que entiendan y me fascina el footlball...UNIVERSIDAD DE CHILE.",Andredita,"",andrealorenadv,"",FALSE,2013-01-12T03:55:16.000Z
125336923,@mxperez @chilepuro Que la izquierda deje d e mentir,1383194256215568384,es,2021-04-16T23:03:03.000Z,0,0,0,0,"Viñamarimo, pero Iquiqueño de corazón. Mis opiniones en este mundillo virtual.",mkresh 💚🇨🇱🇮🇳,"ÜT: -33.0317913,-71.5693477",mkresh1972,"",FALSE,2010-03-22T13:50:45.000Z
1260197886,@mxperez 👏👏👏👏😉,1383189005274116101,und,2021-04-16T22:42:11.000Z,0,0,0,0,Constructor Civil,David Gutierrez Manzo,"Concón, Chile",Davidgu00779920,"",FALSE,2013-03-11T19:16:42.000Z
127391899,@mxperez @RTatoulloa @carola_ac @jaimecanitrot @T13 Aprenda de periodismo con Mónica Gonzalez y no seas una vendida será mejor,1382161747780460544,es,2021-04-14T02:40:14.000Z,0,0,1,0,nacido 1984,claudio andres soto,santiago chile,saez24,"",FALSE,2010-03-29T02:04:07.000Z
128246549,"@javitamiranda @vivianitavg @angelina_giglio @see__somethings Como si fuera poco, ahora se tramita a las mujeres para conseguir pastillas anticonceptivas. ¿Qué se viene? ¿Necesitaremos receta médica para los preservativos? @mxperez @tv_monica @deliaconectada @alejandramatus @Elmo_Braga @Javiera_Matus @ChilePeriodista",1378905080779444228,es,2021-04-05T02:59:24.000Z,2,0,7,0,"Leo ciencias sociales y humanidades para ""ver lo que va a venir"". A los trolls me los como con mostaza. Los demás son bienvenidos. 🤣",Negro José,"Maule, Chile",JerjelMaulino,"",FALSE,2010-03-31T15:16:36.000Z
